	Nackley_10_AGTTCC_L004_R1._O10_E1.fq	Nackley_11_GTCCGC_L004_R1._O10_E1.fq	Nackley_12_GTGAAA_L004_R1._O10_E1.fq	Nackley_13_CGTACG_L004_R1._O10_E1.fq	Nackley_14_GAGTGG_L004_R1._O10_E1.fq	Nackley_15_TGACCA_L005_R1._O10_E1.fq	Nackley_16_GCCAAT_L005_R1._O10_E1.fq	Nackley_17_CAGATC_L005_R1._O10_E1.fq	Nackley_18_ACTTGA_L005_R1._O10_E1.fq	Nackley_19_GTAGAG_L005_R1._O10_E1.fq	Nackley_1_ATCACG_L003_R1._O10_E1.fq	Nackley_20_GGTAGC_L005_R1._O10_E1.fq	Nackley_2_CGATGT_L003_R1._O10_E1.fq	Nackley_3_TTAGGC_L003_R1._O10_E1.fq	Nackley_4_GATCAG_L003_R1._O10_E1.fq	Nackley_5_CTTGTA_L003_R1._O10_E1.fq	Nackley_6_AGTCAA_L003_R1._O10_E1.fq	Nackley_7_CCGTCC_L003_R1._O10_E1.fq	Nackley_8_ACAGTG_L004_R1._O10_E1.fq	Nackley_9_TAGCTT_L004_R1._O10_E1.fq
14	0.0073807304808	0.00708034869057	0.00897278926732	0.00291273794823	0.00297007737429	0.0104493255059	0.0160327044146	0.0128621109811	0.0169524450632	0.00952654184958	0.0117401723402	0.011093934032	0.0103103500202	0.0155818827389	0.00869249865774	0.0124166221158	0.00429140657672	0.00482416190538	0.00238556848788	0.00412621414918
15	0.00668200522864	0.00600578687655	0.00916030273132	0.00323622674704	0.00278028341039	0.00848490880837	0.0131044728373	0.0112958301404	0.0148631640674	0.00793743338508	0.00939358976318	0.00959680699811	0.00810328777296	0.0130280551679	0.00758481819956	0.00818891855976	0.00407731410875	0.00482578553415	0.00271544601141	0.00372822231248
16	0.00874820171204	0.00980536433418	0.0118018525389	0.0050909880858	0.00431889155393	0.0113560711825	0.0130753460625	0.0128975590446	0.0159891951602	0.00901328665613	0.0117930937682	0.0104492762373	0.0100549952373	0.0132216053798	0.010358210892	0.00836384342706	0.00620355199113	0.00682357054369	0.00418310720705	0.00513957632354
17	0.0167215224907	0.0168842956549	0.0226600958356	0.0106197949887	0.00824670185649	0.0155750512581	0.0203321234989	0.0208450492187	0.0235379461738	0.0125709207666	0.0183646066426	0.0135527515927	0.0201998642968	0.0177403280815	0.0163393774158	0.0130092065485	0.0133575341515	0.0144748309577	0.00760623703547	0.0117385920268
18	0.0253565524469	0.0180599794736	0.0266122615626	0.0171125976195	0.0145874055368	0.017657966897	0.035945263657	0.0326945729616	0.0411377963463	0.019714245911	0.0242126059204	0.0211832650173	0.0273323262437	0.0252823161841	0.0219045542827	0.0220050509602	0.0169859290223	0.0203198945579	0.0107354988716	0.0172047715167
19	0.0284423356802	0.0243611168933	0.0270941182314	0.0193688527813	0.037084331403	0.0207036284117	0.0374397446038	0.0389131761053	0.0490701827776	0.0187708521326	0.0322206560754	0.0229680533748	0.0373012814373	0.0218871459921	0.0238922029911	0.078051119482	0.0149979198203	0.0259387325485	0.0114561511561	0.0224461786792
20	0.0270466756047	0.0217056989947	0.028317473822	0.0205102787015	0.0167748360154	0.0212535178752	0.0251117876206	0.0221534089192	0.0234690396547	0.0200797562648	0.0206714437027	0.0179545052792	0.0207382273463	0.0221002176007	0.023199357376	0.014017334969	0.0224453679488	0.0225350654205	0.0219085261379	0.0209255490107
21	0.12240470578	0.0985001148314	0.10432384019	0.0791087863512	0.0642486034951	0.100211245748	0.0870198063555	0.0741797936082	0.0700971326193	0.096424550554	0.0788998237658	0.063718263553	0.0673222804873	0.101177402726	0.0980703528928	0.0440730867495	0.0878400607774	0.0892840681065	0.107657922044	0.0944664347045
22	0.325753698703	0.371713149961	0.344797747186	0.238711751488	0.261967015835	0.310742154493	0.244002472606	0.199898067505	0.22136177415	0.290196813642	0.259306685011	0.198118297635	0.206095632283	0.22218543885	0.274261176749	0.149542834806	0.292543345625	0.252581614858	0.347596059516	0.315118004197
23	0.272881919596	0.244107346115	0.238986203939	0.219718286729	0.252025290948	0.20547049998	0.186367668765	0.19710196202	0.167942855387	0.207103356192	0.156450514091	0.156120015998	0.142464400539	0.209459336801	0.193344302355	0.109430554791	0.211316717274	0.223077032707	0.312706894797	0.302536413958
24	0.0566671967169	0.0571420458208	0.056489086016	0.0616710041714	0.052311796166	0.0486752139969	0.0402475062552	0.0393982480932	0.0402696300004	0.0439632123458	0.0440088860087	0.0292274613434	0.0390295613227	0.0374093553706	0.0404491131435	0.0253017518913	0.0560150129306	0.0459721468287	0.0509605794261	0.0521924607955
25	0.0150747443653	0.0137977040857	0.014457999203	0.0247358483468	0.0180070876376	0.0122151387736	0.0125137144757	0.0145093730516	0.0143063324394	0.0114624695672	0.0113106303795	0.010190404326	0.0120868349557	0.0128275541557	0.00971224217014	0.00970018330552	0.0152991071561	0.0131488674558	0.0164428416892	0.015546718658
26	0.00862745186214	0.00901911508911	0.0097939025455	0.016395692177	0.0134179488548	0.0087151760573	0.0112686934576	0.0116759741437	0.0112931833366	0.00910187679735	0.00826841051362	0.00858999236576	0.0105789030567	0.00976188147813	0.00718687785734	0.00707660721918	0.00984215202617	0.0100071457707	0.00925251893596	0.00875480056938
27	0.00663557899324	0.00559176826805	0.00631450386969	0.0148919980724	0.0115970717301	0.00631323500883	0.0122610842858	0.0140639119144	0.0106080237782	0.0063733409925	0.0077040241737	0.010900788892	0.00993017746749	0.0102603795692	0.00610216536603	0.00660772840556	0.0077626743146	0.00932017039443	0.00640516388429	0.00741197968176
28	0.00912265116039	0.00847738657339	0.0082934740235	0.022935395998	0.0170752917499	0.0123787296456	0.0173474711792	0.0219290904834	0.0166265107185	0.0117470121809	0.0170323877324	0.0191037537824	0.017030523664	0.0184808840974	0.0125840079051	0.0120945346984	0.0147359332744	0.0166129696549	0.0092153762377	0.0113914901136
29	0.0170730711055	0.0200838369354	0.0161332691927	0.0462988378724	0.0454953745758	0.0332992635062	0.0377401763884	0.0460378077201	0.0388156187552	0.0322641645297	0.0502355747639	0.0602365294651	0.0486430435525	0.0383180246269	0.03610312044	0.0559767369598	0.0339051195098	0.0386871049057	0.0187042234605	0.0274354308599
